"Acidobacteria","Actinobacteria","Bacteroidetes","Chloroflexi","Cyanobacteria","Fibrobacteres","Firmicutes","Fusobacteria","Planctomycetes","Proteobacteria","Spirochaetes","Synergistetes","Tenericutes","Verrucomicrobia","Run","Candidatus_Saccharibacteria","Deinococcus-Thermus","Ignavibacteriae","Gemmatimonadetes","Candidatus_Melainabacteria","Elusimicrobia","Lentisphaerae","Streptophyta","Candidatus_Kaiserbacteria","Nitrospirae","Calditrichaeota","Kiritimatiellaeota","Balneolaeota","Chlamydiae","Deferribacteres","Euryarchaeota","Candidatus_Adlerbacteria","Candidatus_Magasanikbacteria","Crenarchaeota","Armatimonadetes","Candidatus_Omnitrophica","Nitrospinae","Chlorobi","Basidiomycota","Candidatus_Azambacteria","Candidatus_Cloacimonetes","Candidatus_Nomurabacteria","Rhodothermaeota","Thaumarchaeota","Candidatus_Campbellbacteria","Candidatus_Doudnabacteria","Candidatus_Latescibacteria","Candidatus_Levybacteria","Candidatus_Marinimicrobia","Candidatus_Woesebacteria","Candidatus_Wolfebacteria","Thermotogae","Candidatus_Peregrinibacteria","Candidatus_Gracilibacteria","Chordata","Coprothermobacterota","Candidatus_Dadabacteria","Candidatus_Jorgensenbacteria","Annelida","Apicomplexa","Arthropoda","Ascomycota","candidate_division_CPR1","Chlorophyta","Chytridiomycota","Ciliophora","Endomyxa","Evosea","Fornicata","Mollusca","Mucoromycota","Nematoda","Parabasalia","Tubulinea","AD3","BRC1","Caldithrix","FBP","GN02","NC10","OP11","OP8","OP9","SAR406","SC4","SR1","Thermi","TM7","WPS-2","WS3","ZB3","Caldiserica","candidate_division_CPR2","Candidatus_Abawacabacteria","Candidatus_Firestonebacteria","Candidatus_Komeilibacteria","Candidatus_Yanofskybacteria","Thermodesulfobacteria","Candidatus_Roizmanbacteria","Aquificae","candidate_division_NC10","candidate_division_WWE3","Candidatus_Falkowbacteria","Candidatus_Giovannonibacteria","Candidatus_Kerfeldbacteria","Candidatus_Kuenenbacteria","Candidatus_Lloydbacteria","Candidatus_Parcubacteria","Candidatus_Raymondbacteria","Candidatus_Ryanbacteria","Candidatus_Schekmanbacteria","Candidatus_Tectomicrobia","Candidatus_Uhrbacteria","Candidatus_Yonathbacteria","Candidatus_Zambryskibacteria"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,"SRR5342472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12,0,0,0,0,"SRR5342563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,"SRR5342487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,"SRR5342540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,13,0,0,0,0,"SRR5342550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,207,0,0,0,0,"SRR5342307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,0,0,1475,0,0,0,0,"SRR1289190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,55,0,0,1313,0,0,0,0,"SRR1289231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,238,0,0,2222,0,0,0,0,"SRR1288579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,341,1,0,625,0,0,54,0,"SRR1289083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
